config,n_instances,instances_feasible,feasibility_rate,instances_with_gap,mean_gap,median_gap,mean_gap_lb,median_gap_lb,within_15pct_count,within_15pct_rate
A_MTS,4,4,1.000,4,0.0982,0.1056,0.1639,0.1056,3,0.750
A_SPT,4,4,1.000,4,0.2876,0.2752,0.3584,0.3389,0,0.000
B_CPSAT,4,4,1.000,4,0.0000,0.0000,0.0556,0.0000,4,1.000
C_ENHANCED w=0.0 γ=0.0,4,4,1.000,4,0.0755,0.0955,0.1361,0.1056,4,1.000
C_ENHANCED w=0.0 γ=0.5,4,4,1.000,4,0.0755,0.0955,0.1361,0.1056,4,1.000
C_ENHANCED w=0.25 γ=0.0,4,4,1.000,4,0.1144,0.1288,0.1750,0.1834,2,0.500
C_ENHANCED w=0.25 γ=0.5,4,4,1.000,4,0.1121,0.1333,0.1778,0.1333,2,0.500
C_ENHANCED w=0.5 γ=0.0,4,4,1.000,4,0.1144,0.1288,0.1750,0.1834,2,0.500
C_ENHANCED w=0.5 γ=0.5,4,4,1.000,4,0.1260,0.1409,0.1917,0.1611,2,0.500
C_ENHANCED w=0.75 γ=0.0,4,4,1.000,4,0.1422,0.1454,0.2028,0.2389,2,0.500
C_ENHANCED w=0.75 γ=0.5,4,4,1.000,4,0.1510,0.1909,0.2167,0.2111,1,0.250
C_ENHANCED w=1.0 γ=0.0,4,4,1.000,4,0.1510,0.1909,0.2167,0.2111,1,0.250
C_ENHANCED w=1.0 γ=0.5,4,4,1.000,4,0.1876,0.2364,0.2583,0.2389,1,0.250
